a52dec 0.7.4-11
haskell-these 1.1.1.1-86
haskell-time-compat 1.9.6-6
haskell-transformers-compat 0.6.6-4
haskell-unordered-containers 0.2.14.0-6
haskell-uuid-types 1.0.5-10
haskell-vector 0.12.3.0-23
haveged 1.9.14-1
hdparm 9.62-1
hicolor-icon-theme 0.17-2
hidapi 0.10.1-1
highlight 4.1-1
hplip 1:3.21.6-1
http-parser 2.9.4-1
humanity-icon-theme 0.6.15-1
hunspell 1.7.0-3
hw-probe 1.5-1
hwdetect 2016.01-4
hwids 20210613-1
hwinfo 21.76-1
hwloc 2.5.0-1
hyphen 2.8.8-3
i3lock-color 2.13.c.4-1
iana-etc 20210728-1
ibus 1.5.25-1
icu 69.1-1
ijs 0.35-3
imagemagick 7.1.0.4-2
imath 3.1.2-1
imlib2 1.7.3-1
inkscape 1.1-5
iproute2 5.13.0-1
iptables 1:1.8.7-1
iputils 20210722-1
ipw2100-fw 1.3-10
ipw2200-fw 3.1-8
irssi 1.2.3-2
iso-codes 4.6.0-1
iw 5.9-1
jack2 1.9.19-2
jansson 2.13.1-1
jasper 2.0.33-1
jbig2dec 0.19-1
jemalloc 1:5.2.1-3
jfsutils 1.1.15-7
jq 1.6-4
js78 78.13.0-1
json-c 0.15-1
json-glib 1.6.4-1
jsoncpp 1.9.4-1
kaccounts-integration 21.08.0-1
kactivities 5.85.0-1
karchive 5.85.0-1
kauth 5.85.0-1
kbd 2.4.0-2
kbookmarks 5.85.0-1
kcmutils 5.85.0-1
kcodecs 5.85.0-1
kcompletion 5.85.0-1
kconfig 5.85.0-1
kconfigwidgets 5.85.0-1
kcoreaddons 5.85.0-1
kcrash 5.85.0-1
kdbusaddons 5.85.0-1
kdeclarative 5.85.0-1
kded 5.85.0-1
keyutils 1.6.3-1
kglobalaccel 5.85.0-1
kguiaddons 5.85.0-1
ki18n 5.85.0-1
kiconthemes 5.85.0-1
kio 5.85.0-1
kirigami2 5.85.0-1
kitemviews 5.85.0-1
kitty-terminfo 0.23.1-1
kjobwidgets 5.85.0-1
kjs 5.85.0-1
kmod 29-1
knotifications 5.85.0-1
kpackage 5.85.0-1
kparts 5.85.0-1
kpty 5.85.0-1
krb5 1.19.1-1
kservice 5.85.0-1
ktextwidgets 5.85.0-1
kwallet 5.85.0-1
kwayland 5.85.0-1
kwidgetsaddons 5.85.0-1
kwindowsystem 5.85.0-1
kxmlgui 5.85.0-1
l-smash 2.14.5-2
lame 3.100-3
lapack 3.10.0-1
laptop-detect 0.16-1
lbzip2 2.5-5
lcms2 2.12-1
ldb 2:2.3.0-1
ldns 1.7.1-2
lensfun 0.3.95-4
less 1:590-1
lib2geom 1.1-1
libabw 0.1.3-2
libaccounts-glib 1.25-4
libaccounts-qt 1.16-3
libaio 0.3.112-2
libao 1.2.2-5
libappindicator-gtk3 12.10.0.r296-1
libarchive 3.5.1-1
libass 0.15.1-1
libassuan 2.5.5-1
libasyncns 0.8+3+g68cd5af-3
libatasmart 0.19-5
libatomic_ops 7.6.10-2
libavc1394 0.5.4-4
libavif 0.9.2-1
libayatana-appindicator 0.5.5-1
libayatana-indicator 0.8.4-1
libblockdev 2.25-2
libbluray 1.3.0-1
libbs2b 3.1.0-7
libbsd 0.11.3-1
libbytesize 2.6-1
libcaca 0.99.beta19-5
libcanberra 0.30+2+gc0620e4-5
libcap 2.51-1
libcap-ng 0.8.2-3
libcbor 0.8.0-1
libcddb 1.3.2-6
libcdio 2.1.0-2
libcdio-paranoia 10.2+2.0.1-2
libcdr 0.1.7-2
libcloudproviders 0.3.1-2
libcolord 1.4.5-4
libconfig 1.7.3-1
libcroco 0.6.13-2
libcue 2.2.1-2
libcups 1:2.3.3op2-3
libcurl-gnutls 7.78.0-1
libdaemon 0.14-5
libdatrie 0.2.13-1
libdbusmenu-glib 16.04.0-4
libdbusmenu-gtk3 16.04.0-4
libdbusmenu-qt5 0.9.3+16.04.20160218-5
libdca 0.0.7-1
libde265 1.0.8-1
libdiscid 0.6.2-3
libdrm 2.4.107-1
libdvbpsi 1:1.3.3-2
libdvdnav 6.1.1-1
libdvdread 6.1.2-1
libe-book 0.1.3-9
libebml 1.4.2-1
libedit 20210522_3.1-1
libelf 0.185-1
libepoxy 1.5.9-1
libepubgen 0.1.1-2
libetonyek 0.1.10-1
libev 4.33-1
libevdev 1.11.0-1
